,date,state,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported
17411,2021-12-30,SC,28,55,5
12868,2021-12-30,SD,1,61,3
22976,2021-12-30,TN,44,96,3
19316,2021-12-30,TX,16,106,473
16531,2021-12-30,UT,1,49,9
24242,2021-12-30,VA,21,66,20
12885,2021-12-30,VI,2,0,0
15124,2021-12-30,VT,10,6,1
18477,2021-12-30,WA,19,82,4
25124,2021-12-30,WI,45,80,23
13700,2021-12-30,WV,25,32,4
17841,2021-12-30,WY,11,18,2
21105,2021-12-29,AK,2,21,1
19089,2021-12-29,AL,34,59,24
21476,2021-12-29,AR,22,88,2
17011,2021-12-29,AS,0,1,0
13294,2021-12-29,AZ,33,84,3
23426,2021-12-29,CA,146,234,33
18912,2021-12-29,CO,27,55,25
16114,2021-12-29,CT,0,33,7
12538,2021-12-29,DC,0,13,1
12547,2021-12-29,DE,2,12,1
16576,2021-12-29,FL,36,178,56
18937,2021-12-29,GA,42,107,22
21917,2021-12-29,HI,3,23,0
13452,2021-12-29,IA,12,39,75
17151,2021-12-29,ID,4,46,3
21648,2021-12-29,IL,19,160,27
17141,2021-12-29,IN,33,132,3
13850,2021-12-29,KS,34,108,7
23538,2021-12-29,KY,40,67,10
21284,2021-12-29,LA,54,166,5
18028,2021-12-29,MA,31,71,1
11708,2021-12-29,MD,10,49,1
23068,2021-12-29,ME,2,24,13
18965,2021-12-29,MI,37,123,4
15689,2021-12-29,MN,24,90,26
22701,2021-12-29,MO,42,80,19
11734,2021-12-29,MS,11,97,2
16108,2021-12-29,MT,8,54,4
19809,2021-12-29,NC,11,109,12
25246,2021-12-29,ND,13,36,1
14214,2021-12-29,NE,27,71,1
17005,2021-12-29,NH,9,18,3
20786,2021-12-29,NJ,19,71,6
24306,2021-12-29,NM,26,29,1
20352,2021-12-29,NV,0,4,57
17948,2021-12-29,NY,14,183,10
14675,2021-12-29,OH,48,173,14
23327,2021-12-29,OK,44,102,4
19243,2021-12-29,OR,8,50,7
15330,2021-12-29,PA,36,188,6
11960,2021-12-29,PR,6,45,15
11990,2021-12-29,RI,6,7,2
15703,2021-12-29,SC,27,56,5
19432,2021-12-29,SD,2,60,3
22269,2021-12-29,TN,47,93,3
14608,2021-12-29,TX,16,107,472
18326,2021-12-29,UT,1,49,9
20333,2021-12-29,VA,23,64,20
13171,2021-12-29,VI,2,0,0
13365,2021-12-29,VT,10,6,1
23890,2021-12-29,WA,17,84,4
21535,2021-12-29,WI,47,78,23
17442,2021-12-29,WV,27,31,4
12674,2021-12-29,WY,11,18,2
23168,2021-12-28,AK,2,19,1
18939,2021-12-28,AL,33,54,27
18330,2021-12-28,AR,18,76,2
21872,2021-12-28,AS,0,1,0
11776,2021-12-28,AZ,33,70,3
16233,2021-12-28,CA,137,205,34
19055,2021-12-28,CO,26,46,25
24454,2021-12-28,CT,0,26,7
14254,2021-12-28,DC,0,12,2
17111,2021-12-28,DE,0,9,2
16491,2021-12-28,FL,35,147,60
23615,2021-12-28,GA,41,93,22
20421,2021-12-28,HI,3,18,4
18035,2021-12-28,IA,9,21,92
13897,2021-12-28,ID,3,43,3
22828,2021-12-28,IL,16,146,26
19557,2021-12-28,IN,27,104,3
15417,2021-12-28,KS,35,100,8
14590,2021-12-28,KY,35,60,11
13598,2021-12-28,LA,54,166,5
16842,2021-12-28,MA,23,59,1
21836,2021-12-28,MD,5,48,1
24127,2021-12-28,ME,2,22,12
12795,2021-12-28,MI,43,112,4
15939,2021-12-28,MN,23,82,26
19169,2021-12-28,MO,34,67,23
15075,2021-12-28,MS,10,91,2
25188,2021-12-28,MT,8,52,4
21569,2021-12-28,NC,10,98,12
17008,2021-12-28,ND,14,32,1
14184,2021-12-28,NE,27,67,1
22606,2021-12-28,NH,9,17,3
18893,2021-12-28,NJ,16,53,11
16083,2021-12-28,NM,28,24,1
16847,2021-12-28,NV,0,2,57
22748,2021-12-28,NY,12,157,10
13024,2021-12-28,OH,48,139,15
16196,2021-12-28,OK,42,94,3
19479,2021-12-28,OR,7,49,7
23703,2021-12-28,PA,39,165,6
13862,2021-12-28,PR,1,10,55
15356,2021-12-28,RI,6,6,2
18603,2021-12-28,SC,26,46,5
21082,2021-12-28,SD,1,60,3
18277,2021-12-28,TN,44,76,3
14545,2021-12-28,TX,15,81,411
24698,2021-12-28,UT,1,43,9
18434,2021-12-28,VA,21,60,20
15573,2021-12-28,VI,2,0,0
17266,2021-12-28,VT,10,6,1
13543,2021-12-28,WA,16,75,4
12487,2021-12-28,WI,45,70,23
16546,2021-12-28,WV,28,30,4
19753,2021-12-28,WY,11,16,2
22970,2021-12-27,AK,1,20,1
13519,2021-12-27,AL,34,57,23
15906,2021-12-27,AR,19,77,2
18856,2021-12-27,AS,0,1,0
15583,2021-12-27,AZ,33,70,3
24818,2021-12-27,CA,138,206,35
21265,2021-12-27,CO,26,46,25
17584,2021-12-27,CT,0,26,7
14718,2021-12-27,DC,0,12,2
22396,2021-12-27,DE,1,8,2
18606,2021-12-27,FL,33,152,60
20233,2021-12-27,GA,41,94,21
17425,2021-12-27,HI,3,18,4
23473,2021-12-27,IA,8,23,91
12114,2021-12-27,ID,3,43,3
16074,2021-12-27,IL,15,147,27
19377,2021-12-27,IN,28,103,3
24227,2021-12-27,KS,29,106,8
12897,2021-12-27,KY,37,57,11
15233,2021-12-27,LA,54,166,5
18469,2021-12-27,MA,23,59,1
21820,2021-12-27,MD,5,47,1
17274,2021-12-27,ME,2,22,12
14434,2021-12-27,MI,43,111,4
24540,2021-12-27,MN,23,82,26
18847,2021-12-27,MO,35,67,22
21696,2021-12-27,MS,9,92,2
16696,2021-12-27,MT,8,52,4
13478,2021-12-27,NC,10,98,12
12992,2021-12-27,ND,15,31,1
15710,2021-12-27,NE,27,67,1
19441,2021-12-27,NH,8,18,3
23077,2021-12-27,NJ,16,52,12
12659,2021-12-27,NM,28,24,1
16254,2021-12-27,NV,0,2,57
19043,2021-12-27,NY,12,157,10
16242,2021-12-27,OH,46,140,15
23642,2021-12-27,OK,43,93,4
21353,2021-12-27,OR,6,50,7
17214,2021-12-27,PA,33,172,6
14023,2021-12-27,PR,1,10,55
22826,2021-12-27,RI,6,6,2
23834,2021-12-27,SC,27,45,5
21543,2021-12-27,SD,1,60,3
18299,2021-12-27,TN,43,77,3
23346,2021-12-27,TX,15,78,412
12446,2021-12-27,UT,1,43,9
15317,2021-12-27,VA,20,61,20
18815,2021-12-27,VI,2,0,0
22717,2021-12-27,VT,10,6,1
11724,2021-12-27,WA,19,71,4
16155,2021-12-27,WI,45,73,22
19882,2021-12-27,WV,26,32,4
21683,2021-12-27,WY,11,16,2
17625,2021-12-26,AK,1,22,1
13567,2021-12-26,AL,35,56,26
24081,2021-12-26,AR,17,92,2
24320,2021-12-26,AS,0,1,0
20336,2021-12-26,AZ,33,83,3
17988,2021-12-26,CA,137,242,35
14629,2021-12-26,CO,25,57,25
77,2021-12-26,CT,0,33,7
15831,2021-12-26,DC,0,12,2
18520,2021-12-26,DE,3,11,2
24743,2021-12-26,FL,35,174,60
12121,2021-12-26,GA,39,112,21
15664,2021-12-26,HI,3,19,4
19350,2021-12-26,IA,7,21,98
15642,2021-12-26,ID,4,45,3
24582,2021-12-26,IL,16,161,28
21529,2021-12-26,IN,28,137,3
17330,2021-12-26,KS,29,113,8
13209,2021-12-26,KY,38,63,13
13422,2021-12-26,LA,54,166,5
23946,2021-12-26,MA,27,72,1
21668,2021-12-26,MD,6,53,1
17592,2021-12-26,ME,1,25,13
22847,2021-12-26,MI,44,115,4
12699,2021-12-26,MN,23,91,26
15408,2021-12-26,MO,38,78,25
21717,2021-12-26,MS,9,99,2
21943,2021-12-26,MT,8,54,4
11813,2021-12-26,NC,12,106,13
16282,2021-12-26,ND,13,36,1
19064,2021-12-26,NE,24,74,1
21275,2021-12-26,NH,9,17,4
17618,2021-12-26,NJ,14,69,13
13895,2021-12-26,NM,27,28,2
12856,2021-12-26,NV,0,4,57
23789,2021-12-26,NY,11,186,10
20234,2021-12-26,OH,47,171,15
18287,2021-12-26,OK,37,102,13
13663,2021-12-26,OR,6,52,7
17918,2021-12-26,PA,33,191,6
21173,2021-12-26,PR,0,8,58
24298,2021-12-26,RI,5,8,2
23240,2021-12-26,SC,28,55,5
13522,2021-12-26,SD,2,60,3
16774,2021-12-26,TN,42,96,3
21751,2021-12-26,TX,20,114,461
12409,2021-12-26,UT,1,49,9
21017,2021-12-26,VA,20,67,20
24136,2021-12-26,VI,2,0,0
14444,2021-12-26,VT,9,7,1
15106,2021-12-26,WA,17,84,4
21807,2021-12-26,WI,46,81,23
24978,2021-12-26,WV,26,32,4
13585,2021-12-26,WY,9,20,2
17759,2021-12-25,AK,1,22,1
14981,2021-12-25,AL,34,56,27
12101,2021-12-25,AR,16,93,2
23040,2021-12-25,AS,0,1,0
23637,2021-12-25,AZ,33,83,3
20045,2021-12-25,CA,132,247,35
16370,2021-12-25,CO,27,55,25
11804,2021-12-25,CT,0,33,7
22761,2021-12-25,DC,0,12,2
23690,2021-12-25,DE,3,11,2
13969,2021-12-25,FL,35,174,60
15455,2021-12-25,GA,41,110,21
18739,2021-12-25,HI,3,19,4
24522,2021-12-25,IA,8,19,99
14796,2021-12-25,ID,4,45,3
18133,2021-12-25,IL,17,161,28
21364,2021-12-25,IN,26,138,4
11572,2021-12-25,KS,29,113,8
22549,2021-12-25,KY,38,68,8
24091,2021-12-25,LA,54,166,5
20527,2021-12-25,MA,26,73,1
15945,2021-12-25,MD,6,49,5
13128,2021-12-25,ME,2,25,12
23230,2021-12-25,MI,42,117,4
13126,2021-12-25,MN,23,91,26
20593,2021-12-25,MO,37,79,25
23755,2021-12-25,MS,11,97,2
11611,2021-12-25,MT,8,54,4
15605,2021-12-25,NC,12,106,13
21530,2021-12-25,ND,12,37,1
24646,2021-12-25,NE,21,77,1
14117,2021-12-25,NH,8,19,3
18285,2021-12-25,NJ,15,69,12
15715,2021-12-25,NM,26,29,2
18167,2021-12-25,NV,0,4,57
13211,2021-12-25,NY,12,185,10
23744,2021-12-25,OH,45,173,15
20111,2021-12-25,OK,35,104,13
15965,2021-12-25,OR,6,52,7
12794,2021-12-25,PA,31,193,6
23303,2021-12-25,PR,1,8,57
23994,2021-12-25,RI,7,6,2
13063,2021-12-25,SC,28,55,5
14935,2021-12-25,SD,2,60,3
18669,2021-12-25,TN,42,97,3
24820,2021-12-25,TX,15,104,476
13849,2021-12-25,UT,1,49,9
17602,2021-12-25,VA,19,68,20
21255,2021-12-25,VI,2,0,0
12108,2021-12-25,VT,9,7,1
14826,2021-12-25,WA,16,85,4
23677,2021-12-25,WI,46,80,24
20521,2021-12-25,WV,26,32,4
16250,2021-12-25,WY,9,20,2
12255,2021-12-24,AK,1,22,1
22753,2021-12-24,AL,33,57,27
12231,2021-12-24,AR,16,93,2
21157,2021-12-24,AS,0,1,0
22202,2021-12-24,AZ,31,85,3
12914,2021-12-24,CA,133,245,36
16586,2021-12-24,CO,27,55,25
20317,2021-12-24,CT,0,33,7
24774,2021-12-24,DC,0,12,2
13800,2021-12-24,DE,4,10,2
17503,2021-12-24,FL,34,175,60
20896,2021-12-24,GA,41,109,22
16754,2021-12-24,HI,3,19,4
14370,2021-12-24,IA,8,23,95
24932,2021-12-24,ID,4,45,3
18483,2021-12-24,IL,14,164,28
16058,2021-12-24,IN,28,137,3
11866,2021-12-24,KS,31,111,8
22586,2021-12-24,KY,36,63,15
22679,2021-12-24,LA,54,166,5
11721,2021-12-24,MA,26,73,1
16131,2021-12-24,MD,10,45,5
19896,2021-12-24,ME,1,25,13
25168,2021-12-24,MI,41,118,4
14143,2021-12-24,MN,23,91,26
17088,2021-12-24,MO,38,78,25
20688,2021-12-24,MS,10,98,2
17362,2021-12-24,MT,8,54,4
13267,2021-12-24,NC,12,107,12
24679,2021-12-24,ND,16,33,1
21505,2021-12-24,NE,24,74,1
16598,2021-12-24,NH,8,19,3
12541,2021-12-24,NJ,15,69,12
22145,2021-12-24,NM,27,28,2
11602,2021-12-24,NV,0,4,57
18610,2021-12-24,NY,11,186,10
22344,2021-12-24,OH,45,173,15
13015,2021-12-24,OK,42,106,4
15741,2021-12-24,OR,6,52,7
21309,2021-12-24,PA,33,191,6
24874,2021-12-24,PR,0,10,56
13879,2021-12-24,RI,6,7,2
16699,2021-12-24,SC,28,55,5
20374,2021-12-24,SD,3,59,3
16683,2021-12-24,TN,43,96,3
14722,2021-12-24,TX,19,115,461
23976,2021-12-24,UT,1,49,9
19422,2021-12-24,VA,20,67,20
15463,2021-12-24,VI,2,0,0
12219,2021-12-24,VT,10,6,1
24827,2021-12-24,WA,14,87,4
22169,2021-12-24,WI,46,80,24
11590,2021-12-24,WV,26,32,4
16500,2021-12-24,WY,10,19,2
18862,2021-12-23,AK,1,22,1
24586,2021-12-23,AL,34,59,24
14118,2021-12-23,AR,17,92,2
17433,2021-12-23,AS,0,1,0
16198,2021-12-23,AZ,34,81,3
11829,2021-12-23,CA,136,241,36
21933,2021-12-23,CO,26,56,25
20010,2021-12-23,CT,0,33,7
15432,2021-12-23,DC,0,12,2
14310,2021-12-23,DE,3,11,2
24431,2021-12-23,FL,34,174,59
20864,2021-12-23,GA,41,109,22
13258,2021-12-23,HI,3,19,4
19955,2021-12-23,IA,11,23,92
23149,2021-12-23,ID,4,45,3
11779,2021-12-23,IL,16,162,28
15791,2021-12-23,IN,42,123,3
20808,2021-12-23,KS,28,114,8
23944,2021-12-23,KY,37,66,12
14257,2021-12-23,LA,54,166,5
15092,2021-12-23,MA,27,72,1
18221,2021-12-23,MD,5,50,5
14481,2021-12-23,ME,3,23,13
23767,2021-12-23,MI,42,116,4
21034,2021-12-23,MN,23,91,26
15588,2021-12-23,MO,39,77,25
12000,2021-12-23,MS,10,98,2
22956,2021-12-23,MT,8,54,4
23529,2021-12-23,NC,12,107,12
23375,2021-12-23,ND,15,34,1
12899,2021-12-23,NE,28,70,1
15183,2021-12-23,NH,9,18,3
19315,2021-12-23,NJ,15,69,12
23673,2021-12-23,NM,28,28,1
13659,2021-12-23,NV,0,4,57
17806,2021-12-23,NY,12,185,10
18421,2021-12-23,OH,46,172,15
14220,2021-12-23,OK,44,103,4
25239,2021-12-23,OR,8,50,7
21582,2021-12-23,PA,40,184,6
17943,2021-12-23,PR,0,11,55
11664,2021-12-23,RI,6,7,2
22631,2021-12-23,SC,28,55,5
24102,2021-12-23,SD,2,60,3
13991,2021-12-23,TN,44,95,3
19795,2021-12-23,TX,20,112,462
23022,2021-12-23,UT,1,49,9
12545,2021-12-23,VA,20,67,20
16584,2021-12-23,VI,2,0,0
20682,2021-12-23,VT,10,6,1
23619,2021-12-23,WA,18,83,4
11848,2021-12-23,WI,47,80,23
15426,2021-12-23,WV,26,32,4
18327,2021-12-23,WY,10,19,2
14162,2021-12-22,AK,1,22,1
24710,2021-12-22,AL,35,60,22
21574,2021-12-22,AR,19,88,2
15705,2021-12-22,AS,0,1,0
11735,2021-12-22,AZ,34,81,3
13526,2021-12-22,CA,136,240,37
24124,2021-12-22,CO,25,57,25
23489,2021-12-22,CT,0,33,7
12567,2021-12-22,DC,0,13,1
16165,2021-12-22,DE,4,11,1
19872,2021-12-22,FL,34,171,60
23977,2021-12-22,GA,41,110,21
13072,2021-12-22,HI,4,22,0
15260,2021-12-22,IA,15,40,71
18653,2021-12-22,ID,4,45,3
14535,2021-12-22,IL,16,162,28
24225,2021-12-22,IN,41,124,3
21131,2021-12-22,KS,34,108,8
17882,2021-12-22,KY,40,64,11
12010,2021-12-22,LA,53,167,5
14739,2021-12-22,MA,27,72,1
23563,2021-12-22,MD,4,55,1
14710,2021-12-22,ME,3,23,13
18406,2021-12-22,MI,36,122,4
22941,2021-12-22,MN,23,91,26
11969,2021-12-22,MO,38,79,24
15717,2021-12-22,MS,10,98,2
21027,2021-12-22,MT,8,54,4
22079,2021-12-22,NC,11,108,12
12841,2021-12-22,ND,14,35,1
16445,2021-12-22,NE,29,69,1
16685,2021-12-22,NH,10,16,4
14289,2021-12-22,NJ,15,74,7
24003,2021-12-22,NM,28,28,1
20821,2021-12-22,NV,0,4,57
15847,2021-12-22,NY,11,186,10
16964,2021-12-22,OH,48,171,13
14521,2021-12-22,OK,46,102,3
25119,2021-12-22,OR,9,49,7
21910,2021-12-22,PA,37,187,6
12690,2021-12-22,PR,9,55,1
15273,2021-12-22,RI,5,8,2
19058,2021-12-22,SC,28,55,5
22694,2021-12-22,SD,3,59,3
11712,2021-12-22,TN,43,96,3
16175,2021-12-22,TX,25,109,460
19849,2021-12-22,UT,1,49,9
14885,2021-12-22,VA,20,67,20
24567,2021-12-22,VI,2,0,0
20502,2021-12-22,VT,10,6,1
17245,2021-12-22,WA,14,87,4
17499,2021-12-22,WI,47,80,23
13338,2021-12-22,WV,28,31,4
24721,2021-12-22,WY,10,19,2
14153,2021-12-21,AK,1,20,1
19586,2021-12-21,AL,31,59,24
23403,2021-12-21,AR,18,76,2
12085,2021-12-21,AS,0,1,0
15222,2021-12-21,AZ,32,70,3
18511,2021-12-21,CA,134,207,36
22603,2021-12-21,CO,24,48,25
12950,2021-12-21,CT,0,27,7
16124,2021-12-21,DC,0,12,2
17711,2021-12-21,DE,2,7,2
14874,2021-12-21,FL,33,149,60
24120,2021-12-21,GA,40,95,22
20579,2021-12-21,HI,3,18,4
20338,2021-12-21,IA,10,20,92
17521,2021-12-21,ID,3,42,3
14649,2021-12-21,IL,13,148,28
24780,2021-12-21,IN,39,96,3
22864,2021-12-21,KS,31,104,8
12463,2021-12-21,KY,36,57,14
15580,2021-12-21,LA,53,167,5
21495,2021-12-21,MA,23,59,1
22130,2021-12-21,MD,5,43,5
11620,2021-12-21,ME,3,21,12
16541,2021-12-21,MI,44,109,4
18872,2021-12-21,MN,22,83,26
12540,2021-12-21,MO,35,65,25
23447,2021-12-21,MS,10,91,2
18942,2021-12-21,MT,9,51,4
15264,2021-12-21,NC,10,97,13
11658,2021-12-21,ND,15,31,1
22619,2021-12-21,NE,27,67,1
19793,2021-12-21,NH,9,17,3
16081,2021-12-21,NJ,13,56,11
12406,2021-12-21,NM,27,25,1
22056,2021-12-21,NV,0,2,57
19674,2021-12-21,NY,11,158,10
16395,2021-12-21,OH,47,136,16
16609,2021-12-21,OK,42,92,3
12584,2021-12-21,OR,8,48,7
22252,2021-12-21,PA,42,172,6
18917,2021-12-21,PR,1,9,55
20921,2021-12-21,RI,5,7,2
23623,2021-12-21,SC,27,44,5
14390,2021-12-21,SD,1,60,3
18125,2021-12-21,TN,41,78,3
21792,2021-12-21,TX,21,86,398
24521,2021-12-21,UT,1,43,9
13656,2021-12-21,VA,20,61,20
17378,2021-12-21,VI,2,0,0
22750,2021-12-21,VT,10,6,1
18630,2021-12-21,WA,18,72,4
16203,2021-12-21,WI,46,69,24
13020,2021-12-21,WV,26,33,4
23545,2021-12-21,WY,10,17,2
22934,2021-12-20,AK,1,20,1
18859,2021-12-20,AL,32,59,23
15589,2021-12-20,AR,16,78,2
24417,2021-12-20,AS,0,1,0
13492,2021-12-20,AZ,33,72,3
18066,2021-12-20,CA,132,208,37
21724,2021-12-20,CO,26,46,25
21951,2021-12-20,CT,0,27,7
14342,2021-12-20,DC,0,12,2
17438,2021-12-20,DE,2,7,2
20669,2021-12-20,FL,34,152,56
13073,2021-12-20,GA,41,94,22
22283,2021-12-20,HI,3,18,4
19539,2021-12-20,IA,11,20,91
15817,2021-12-20,ID,3,42,3
13871,2021-12-20,IL,14,149,27
12887,2021-12-20,IN,36,96,3
22078,2021-12-20,KS,30,106,7
18409,2021-12-20,KY,36,63,8
21662,2021-12-20,LA,53,167,5
23968,2021-12-20,MA,21,61,1
14285,2021-12-20,MD,7,45,1
17593,2021-12-20,ME,3,21,12
18953,2021-12-20,MI,43,111,4
22237,2021-12-20,MN,22,83,26
13349,2021-12-20,MO,34,65,26
17478,2021-12-20,MS,11,90,2
23229,2021-12-20,MT,9,51,4
19593,2021-12-20,NC,10,98,12
15888,2021-12-20,ND,14,32,1
13120,2021-12-20,NE,27,67,1
24112,2021-12-20,NH,8,18,3
20557,2021-12-20,NJ,12,56,12
18545,2021-12-20,NM,28,23,2
15685,2021-12-20,NV,0,2,57
25027,2021-12-20,NY,12,157,10
14439,2021-12-20,OH,45,139,15
17561,2021-12-20,OK,40,93,3
21834,2021-12-20,OR,7,49,7
22490,2021-12-20,PA,42,172,6
11951,2021-12-20,PR,0,9,56
16827,2021-12-20,RI,5,7,2
21002,2021-12-20,SC,24,48,5
11722,2021-12-20,SD,1,60,3
22646,2021-12-20,TN,42,76,3
18956,2021-12-20,TX,21,88,397
15290,2021-12-20,UT,1,43,9
14142,2021-12-20,VA,19,62,20
25190,2021-12-20,VI,2,0,0
23223,2021-12-20,VT,10,6,1
19606,2021-12-20,WA,18,72,4
20860,2021-12-20,WI,46,72,22
23981,2021-12-20,WV,26,33,4
13761,2021-12-20,WY,10,17,2
17046,2021-12-19,AK,1,22,1
19928,2021-12-19,AL,34,59,24
23128,2021-12-19,AR,16,94,2
11766,2021-12-19,AS,0,1,0
17608,2021-12-19,AZ,34,85,3
22588,2021-12-19,CA,134,246,36
18868,2021-12-19,CO,28,54,25
15988,2021-12-19,CT,0,32,7
11574,2021-12-19,DC,0,12,2
25137,2021-12-19,DE,2,12,2
21525,2021-12-19,FL,36,173,60
16923,2021-12-19,GA,40,111,21
15827,2021-12-19,HI,4,18,4
24253,2021-12-19,IA,9,19,98
13725,2021-12-19,ID,3,47,3
17682,2021-12-19,IL,11,167,28
20460,2021-12-19,IN,36,129,3
23178,2021-12-19,KS,30,113,7
13056,2021-12-19,KY,34,71,12
14994,2021-12-19,LA,53,167,5
21298,2021-12-19,MA,29,72,1
11578,2021-12-19,MD,6,49,5
22099,2021-12-19,ME,2,24,13
19715,2021-12-19,MI,43,115,4
15604,2021-12-19,MN,23,91,26
14058,2021-12-19,MO,36,80,25
24631,2021-12-19,MS,7,101,2
20622,2021-12-19,MT,8,54,4
19927,2021-12-19,NC,11,110,12
78,2021-12-19,ND,12,36,2
24067,2021-12-19,NE,28,70,1
14838,2021-12-19,NH,10,17,3
17716,2021-12-19,NJ,12,72,12
19567,2021-12-19,NM,27,28,2
23235,2021-12-19,NV,0,4,57
12324,2021-12-19,NY,11,187,10
15005,2021-12-19,OH,46,176,13
22285,2021-12-19,OK,36,101,14
18967,2021-12-19,OR,7,51,7
16629,2021-12-19,PA,37,188,6
12587,2021-12-19,PR,0,8,57
24791,2021-12-19,RI,5,8,2
21620,2021-12-19,SC,25,58,5
17540,2021-12-19,SD,2,60,3
13395,2021-12-19,TN,39,101,3
22153,2021-12-19,TX,19,121,454
12063,2021-12-19,UT,1,49,9
16522,2021-12-19,VA,21,66,20
19311,2021-12-19,VI,2,0,0
24623,2021-12-19,VT,10,6,1
14525,2021-12-19,WA,17,84,4
17399,2021-12-19,WI,49,77,24
20198,2021-12-19,WV,26,33,4
16485,2021-12-19,WY,8,21,2
12438,2021-12-18,AK,1,22,1
22098,2021-12-18,AL,34,59,24
18964,2021-12-18,AR,15,95,2
17331,2021-12-18,AS,0,1,0
13224,2021-12-18,AZ,33,86,3
24599,2021-12-18,CA,133,247,36
21491,2021-12-18,CO,29,53,25
21745,2021-12-18,CT,0,32,7
24475,2021-12-18,DC,0,12,2
13605,2021-12-18,DE,3,11,2
17310,2021-12-18,FL,36,172,60
19159,2021-12-18,GA,39,112,21
22003,2021-12-18,HI,4,18,4
12720,2021-12-18,IA,10,18,98
16379,2021-12-18,ID,3,47,3
13184,2021-12-18,IL,10,168,28
22899,2021-12-18,IN,37,128,3
18803,2021-12-18,KS,33,109,8
15540,2021-12-18,KY,35,70,12
13985,2021-12-18,LA,52,168,5
23698,2021-12-18,MA,29,72,1
21042,2021-12-18,MD,8,47,5
18204,2021-12-18,ME,2,24,13
22242,2021-12-18,MI,44,114,4
14177,2021-12-18,MN,23,91,26
17485,2021-12-18,MO,37,79,25
20733,2021-12-18,MS,7,101,2
23108,2021-12-18,MT,8,54,4
11701,2021-12-18,NC,11,110,12
16659,2021-12-18,ND,11,37,2
19884,2021-12-18,NE,27,71,1
13901,2021-12-18,NH,11,16,3
12956,2021-12-18,NJ,11,72,13
22148,2021-12-18,NM,26,29,2
18447,2021-12-18,NV,0,4,57
18322,2021-12-18,NY,11,187,10
13808,2021-12-18,OH,46,175,14
24771,2021-12-18,OK,36,102,13
21210,2021-12-18,OR,7,51,7
19105,2021-12-18,PA,35,190,6
24905,2021-12-18,PR,1,7,57
13500,2021-12-18,RI,5,8,2
16751,2021-12-18,SC,25,58,5
19911,2021-12-18,SD,2,60,3
22350,2021-12-18,TN,40,100,3
12652,2021-12-18,TX,18,124,452
15777,2021-12-18,UT,1,49,9
24046,2021-12-18,VA,21,66,20
20484,2021-12-18,VI,2,0,0
18503,2021-12-18,VT,10,6,1
15638,2021-12-18,WA,18,83,4
14813,2021-12-18,WI,48,78,24
24052,2021-12-18,WV,26,33,4
21338,2021-12-18,WY,9,20,2
17668,2021-12-17,AK,1,22,1
22349,2021-12-17,AL,34,60,23
11772,2021-12-17,AR,16,94,2
16668,2021-12-17,AS,0,1,0
20845,2021-12-17,AZ,34,85,3
23199,2021-12-17,CA,136,243,37
12715,2021-12-17,CO,29,53,25
15758,2021-12-17,CT,0,32,7
19997,2021-12-17,DC,0,12,2
14209,2021-12-17,DE,3,11,2
25234,2021-12-17,FL,36,172,60
23271,2021-12-17,GA,41,109,22
19620,2021-12-17,HI,3,19,4
16714,2021-12-17,IA,9,24,93
13962,2021-12-17,ID,4,46,3
23993,2021-12-17,IL,12,166,28
20437,2021-12-17,IN,37,128,3
19402,2021-12-17,KS,34,108,8
23478,2021-12-17,KY,36,72,9
14672,2021-12-17,LA,52,168,5
17950,2021-12-17,MA,29,72,1
18566,2021-12-17,MD,7,52,1
22690,2021-12-17,ME,3,23,13
12106,2021-12-17,MI,42,116,4
15267,2021-12-17,MN,23,91,26
25064,2021-12-17,MO,35,81,25
21459,2021-12-17,MS,6,102,2
16881,2021-12-17,MT,9,53,4
16166,2021-12-17,NC,11,110,12
13816,2021-12-17,ND,15,33,2
24343,2021-12-17,NE,29,69,1
20829,2021-12-17,NH,10,17,3
16676,2021-12-17,NJ,11,72,13
23215,2021-12-17,NM,26,29,1
13116,2021-12-17,NV,0,4,57
15011,2021-12-17,NY,11,187,10
21375,2021-12-17,OH,44,177,14
22421,2021-12-17,OK,44,104,3
12315,2021-12-17,OR,6,52,7
15972,2021-12-17,PA,41,184,6
18712,2021-12-17,PR,0,10,55
14115,2021-12-17,RI,5,8,2
24677,2021-12-17,SC,25,58,5
20610,2021-12-17,SD,2,60,3
19937,2021-12-17,TN,40,100,3
16681,2021-12-17,TX,14,111,469
13442,2021-12-17,UT,1,49,9
24850,2021-12-17,VA,20,67,20
20991,2021-12-17,VI,2,0,0
19284,2021-12-17,VT,10,6,1
22993,2021-12-17,WA,17,85,3
12077,2021-12-17,WI,49,79,22
18282,2021-12-17,WV,26,33,4
18446,2021-12-17,WY,10,19,2
22154,2021-12-16,AK,1,22,1
12865,2021-12-16,AL,35,60,22
15579,2021-12-16,AR,18,92,2
24757,2021-12-16,AS,0,1,0
21481,2021-12-16,AZ,34,85,3
17406,2021-12-16,CA,134,246,36
13272,2021-12-16,CO,29,53,25
13501,2021-12-16,CT,0,31,7
24024,2021-12-16,DC,0,12,2
21707,2021-12-16,DE,3,11,2
17639,2021-12-16,FL,37,172,60
13680,2021-12-16,GA,41,109,22
18126,2021-12-16,HI,3,19,4
20948,2021-12-16,IA,9,24,93
23669,2021-12-16,ID,4,46,3
23874,2021-12-16,IL,15,162,28
13727,2021-12-16,IN,36,129,3
